Código|Entidad|Tipo Solicitud|Solicitud|Asunto|Fecha de Solicitud|Estado|Fecha de Estado
3|SALESFORCE 1|Solicitud de Códigos y Usuarios|251873|Modificación rol TDAF_2 usuarios|07/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|251874|Modificación rol TDAF_15 USUARIOS|07/08/2017|Procesando|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|253430|APOYO CON 1 CREACION USUARIO +SIMPLE AMDOCS - ZONAL CHICLAYO|15/08/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|254004|25 Asesores 1 Aplicativo Crear +Simple|17/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|254009|RESETEO - CAMBIO DE PERFIL 11 USUARIOS FUNCIONARIO STC - ANDOCS|17/08/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|254134|01 TRABAJADOR RESETEAR + SIMPLE JAIME CASTILLO|17/08/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|254961|1 Trabajador, 1 aplicativo, REINSTALACIÓN DE CITRIX|22/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|255001|01 TRABAJADOR-05 APLICATIVOS-CREACION|22/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|255079|01 Trabajador, 05 Aplicativos varios, CREAR- MOD SM - NAVARRO|22/08/2017|Procesando|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|255265|Eliminar CMS Maria Cosquillo|23/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|255323|1 trabajador, 3 aplicativos, MODIFICAR CITRIX, + SIMPLE|23/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|255596|CREACIÓN 26 USUSARIOS STC 400 - PORTABILIDAD DIGITEX|24/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|256070|05_TRABAJADOR_1_APLICACION_RESETEO_STC_6i|25/08/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|256240|1 trabajador, 01 aplicativo, JTELLER, eliminacion.|28/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|256259|1 trabajador, 01 aplicativo, JTELLER, eliminacion.|28/08/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|256908|MODIFICACION DE PERFIL 4 USUARIOS STC Y FUNCIONARIO SOPORTE TRUJILLO VII|31/08/2017|Cerrado con observaciones|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257187|02 RESETEOS DE INTERCONET|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257396|01 trabajador, 09 aplicativo, VARIOS , ELIMINAR FQ SAN MIGUEL|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257414|2 TRABAJADORES - CREAR MAS SIMPLE|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257422|05_TRABAJADOR_1_APLICACION_CREACION_CMS|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257430|2 TRABAJADORES - CREAR MAS SIMPLE|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257437|1 TRABAJADOR - CREAR MAS SIMPLE|01/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257610|MODIFICAR PERFIL PORTAL DE CANALES|04/09/2017|Atendido|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257640|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ HIGUERETA - PAUCAS|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257641|APOYO CON 1 CREACION USUSARIO CUM / WEB CINTRATOS - ZONAL CHICLAYO|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257642|01 CREACION (APLICATIVOS Y +SIMPLE) - FQ SAN MIGUEL - VERGEL|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257698|APOYO CON 3 CREACIONES USUARIOS +SIMPLE AMDOCS - ZONAL CHIMBOTE|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257707|01 TRABAJADOR-01 APLICATIVO-REINSTALACION-CITRIX|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257713|CREACIÓN DE PINES 01 USUARIO PARA AUTORESETEO - DIGITEX|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257763|Cambio de perfil RO4|04/09/2017|Pendiente|20/09/2017
2|SALESFORCE 1|Solicitud de Códigos y Usuarios|257841|2 CREACION DE USUARIO AMDOCS|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257842|1 CREACION DE USUARIO AMDOCS|04/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257907|CREACION USUARIOS DE CITRIX ATIS GESTEL AG LIDER EN INFORMATICA 05.09.17|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|257985|CAMBIO CONTRASEÑA INTERCONECT - TIENDA AREQUIPA|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258095|ELIMINACION 10 USUARIOS POR CESE FUSION Y NEGOCIOS I|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258103|ELIMINACION 5 USUARIOS POR CESE FUSION Y NEGOCIOS|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258106|16 Eliminación de Usuarios|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258130|baja 1 vendedor/ wilson Velasquez|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258132|2 ELIMINACION USUARIOS X CESE LABORAL|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258148|01 TRABAJADOR-02 APLICATIVOS-CREACION-CAJA|05/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258250|12 CREACIONES DE USUARIOS PORTAL DE CANALES Y WEB|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258255|+ SIMPLE-CREACION 02 USUARIOS|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258279|2 usuarios crear Pin de Autogestion STC|06/09/2017|Pendiente|20/09/2017
123456|SALESFORCE 1|Solicitud de Códigos y Usuarios|258281|CREACION DE CODIGOS|06/09/2017|Pendiente|20/09/2017
